locs,techs,timesteps,resource
region2,demand_power,2017-01-06 02:00:00,-52.13
region2,demand_power,2017-01-06 03:00:00,-52.97
region2,demand_power,2017-01-06 04:00:00,-54.92
region2,demand_power,2017-01-06 05:00:00,-59.91
region2,demand_power,2017-01-06 06:00:00,-65.1
region2,demand_power,2017-01-06 07:00:00,-67.84
region2,demand_power,2017-01-06 08:00:00,-69.22
region2,demand_power,2017-01-06 09:00:00,-70.51
region2,demand_power,2017-01-06 10:00:00,-71.5
region2,demand_power,2017-01-06 11:00:00,-71.02
region2,demand_power,2017-01-06 12:00:00,-69.84
region2,demand_power,2017-01-06 13:00:00,-68.61
region2,demand_power,2017-01-06 14:00:00,-68.01
region2,demand_power,2017-01-06 15:00:00,-68.46
region2,demand_power,2017-01-06 16:00:00,-70.9
region2,demand_power,2017-01-06 17:00:00,-71.7
region2,demand_power,2017-01-06 18:00:00,-70.27
region2,demand_power,2017-01-06 19:00:00,-66.66
region2,demand_power,2017-01-06 20:00:00,-63.72
region2,demand_power,2017-01-06 21:00:00,-61.89
region2,demand_power,2017-01-06 22:00:00,-58.14
region2,demand_power,2017-01-06 23:00:00,-55.02
region2,demand_power,2017-01-07 00:00:00,-44.25
region2,demand_power,2017-01-07 01:00:00,-43.3
region2,demand_power,2017-01-07 02:00:00,-43.34
region2,demand_power,2017-01-07 03:00:00,-44.19
region2,demand_power,2017-01-07 04:00:00,-46.13
region2,demand_power,2017-01-07 05:00:00,-51.12
region2,demand_power,2017-01-07 06:00:00,-56.31
region2,demand_power,2017-01-07 07:00:00,-59.06
region2,demand_power,2017-01-07 08:00:00,-60.43
region2,demand_power,2017-01-07 09:00:00,-61.72
region2,demand_power,2017-01-07 10:00:00,-62.72
region2,demand_power,2017-01-07 11:00:00,-62.23
region2,demand_power,2017-01-07 12:00:00,-61.05
region2,demand_power,2017-01-07 13:00:00,-59.83
region2,demand_power,2017-01-07 14:00:00,-59.22
region2,demand_power,2017-01-07 15:00:00,-59.68
region2,demand_power,2017-01-07 16:00:00,-62.12
region2,demand_power,2017-01-07 17:00:00,-62.91
region2,demand_power,2017-01-07 18:00:00,-61.48
region2,demand_power,2017-01-07 19:00:00,-57.87
region2,demand_power,2017-01-07 20:00:00,-54.93
region2,demand_power,2017-01-07 21:00:00,-53.11
region2,demand_power,2017-01-07 22:00:00,-49.35
region2,demand_power,2017-01-07 23:00:00,-46.23
region2,demand_power,2017-01-08 00:00:00,-38.84
region2,demand_power,2017-01-08 01:00:00,-37.89
region2,demand_power,2017-01-08 02:00:00,-37.93
region2,demand_power,2017-01-08 03:00:00,-38.77
region2,demand_power,2017-01-08 04:00:00,-40.72
region2,demand_power,2017-01-08 05:00:00,-45.71
region2,demand_power,2017-01-08 06:00:00,-50.9
region2,demand_power,2017-01-08 07:00:00,-53.65
region2,demand_power,2017-01-08 08:00:00,-55.02
